2023-08-01 22:00:00.613 [info] Added views:workbench.panel.markers.view in workbench.panel.markers
2023-08-01 22:00:00.613 [info] Added views:workbench.panel.output in workbench.panel.output
2023-08-01 22:00:00.613 [info] Added views:terminal in terminal
2023-08-01 22:00:00.613 [info] Added views:outline in workbench.view.explorer
2023-08-01 22:00:00.613 [info] Added views:workbench.scm in workbench.view.scm
2023-08-01 22:00:00.613 [info] Added views:workbench.view.search in workbench.view.search
2023-08-01 22:00:00.613 [info] Added views:timeline in workbench.view.explorer
2023-08-01 22:00:00.613 [info] Added views:workbench.explorer.emptyView in workbench.view.explorer
2023-08-01 22:00:00.801 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-08-01 22:00:01.589 [info] Added views:workbench.panel.repl.view in workbench.panel.repl
2023-08-01 22:36:53.666 [info] Added views:workbench.debug.breakPointsView in workbench.view.debug
2023-08-01 22:36:57.394 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-08-01 22:36:57.449 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView,workbench.debug.loadedScriptsView in workbench.view.debug
2023-08-01 22:36:57.977 [info] Removed views:workbench.debug.loadedScriptsView,workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-08-01 22:36:57.990 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-08-01 22:36:57.999 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-08-01 22:36:58.037 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView,workbench.debug.loadedScriptsView in workbench.view.debug
2023-08-01 22:36:58.080 [info] Removed views:workbench.debug.loadedScriptsView,workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-08-01 22:36:58.095 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-08-01 22:37:22.516 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-08-01 22:37:22.566 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView,workbench.debug.loadedScriptsView in workbench.view.debug
2023-08-01 22:38:03.196 [info] Removed views:workbench.debug.loadedScriptsView,workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-08-01 22:38:03.206 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-08-01 22:38:05.246 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-08-01 22:38:05.296 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView,workbench.debug.loadedScriptsView in workbench.view.debug
2023-08-01 22:38:05.792 [info] Removed views:workbench.debug.loadedScriptsView,workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-08-01 22:38:05.803 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-08-01 22:38:05.811 [info] Removed views:workbench.debug.welcome from workbench.view.debug
