2023-08-01 21:23:25.550 [info] Removed views:workbench.debug.loadedScriptsView,workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-08-01 21:23:25.561 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-08-01 21:24:09.825 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-08-01 21:24:09.887 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView,workbench.debug.loadedScriptsView in workbench.view.debug
2023-08-01 21:24:10.387 [info] Removed views:workbench.debug.loadedScriptsView,workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-08-01 21:24:10.397 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-08-01 21:24:10.405 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-08-01 21:24:10.443 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView,workbench.debug.loadedScriptsView in workbench.view.debug
2023-08-01 21:24:10.489 [info] Removed views:workbench.debug.loadedScriptsView,workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-08-01 21:24:10.504 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-08-01 21:25:02.316 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-08-01 21:25:02.380 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView,workbench.debug.loadedScriptsView in workbench.view.debug
2023-08-01 21:25:02.848 [info] Removed views:workbench.debug.loadedScriptsView,workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-08-01 21:25:02.862 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-08-01 21:25:02.873 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-08-01 21:25:02.912 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView,workbench.debug.loadedScriptsView in workbench.view.debug
2023-08-01 21:25:02.955 [info] Removed views:workbench.debug.loadedScriptsView,workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-08-01 21:25:02.965 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-08-01 21:25:21.439 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-08-01 21:25:21.476 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView,workbench.debug.loadedScriptsView in workbench.view.debug
2023-08-01 21:25:21.988 [info] Removed views:workbench.debug.loadedScriptsView,workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-08-01 21:25:21.999 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-08-01 21:25:22.007 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-08-01 21:25:22.041 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView,workbench.debug.loadedScriptsView in workbench.view.debug
2023-08-01 21:25:22.076 [info] Removed views:workbench.debug.loadedScriptsView,workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-08-01 21:25:22.086 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-08-01 21:25:42.518 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-08-01 21:25:42.571 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView,workbench.debug.loadedScriptsView in workbench.view.debug
2023-08-01 21:25:43.055 [info] Removed views:workbench.debug.loadedScriptsView,workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-08-01 21:25:43.067 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-08-01 21:26:06.364 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-08-01 21:26:06.407 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView,workbench.debug.loadedScriptsView in workbench.view.debug
2023-08-01 21:26:06.913 [info] Removed views:workbench.debug.loadedScriptsView,workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-08-01 21:26:06.929 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-08-01 21:29:00.316 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-08-01 21:29:00.356 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView,workbench.debug.loadedScriptsView in workbench.view.debug
2023-08-01 21:29:01.365 [info] Removed views:workbench.debug.loadedScriptsView,workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-08-01 21:29:01.378 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-08-01 21:29:25.099 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-08-01 21:29:25.140 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView,workbench.debug.loadedScriptsView in workbench.view.debug
2023-08-01 21:29:25.625 [info] Removed views:workbench.debug.loadedScriptsView,workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-08-01 21:29:25.636 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-08-01 21:29:25.646 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-08-01 21:29:25.691 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView,workbench.debug.loadedScriptsView in workbench.view.debug
2023-08-01 21:29:25.735 [info] Removed views:workbench.debug.loadedScriptsView,workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-08-01 21:29:25.750 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-08-01 21:29:34.106 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-08-01 21:29:34.175 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView,workbench.debug.loadedScriptsView in workbench.view.debug
2023-08-01 21:29:34.633 [info] Removed views:workbench.debug.loadedScriptsView,workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-08-01 21:29:34.648 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-08-01 21:29:34.656 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-08-01 21:29:34.703 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView,workbench.debug.loadedScriptsView in workbench.view.debug
2023-08-01 21:29:34.737 [info] Removed views:workbench.debug.loadedScriptsView,workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-08-01 21:29:34.749 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-08-01 21:29:45.041 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-08-01 21:29:45.085 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView,workbench.debug.loadedScriptsView in workbench.view.debug
2023-08-01 21:29:45.541 [info] Removed views:workbench.debug.loadedScriptsView,workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-08-01 21:29:45.553 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-08-01 21:29:45.560 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-08-01 21:29:45.598 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView,workbench.debug.loadedScriptsView in workbench.view.debug
2023-08-01 21:29:45.633 [info] Removed views:workbench.debug.loadedScriptsView,workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-08-01 21:29:45.644 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-08-01 21:35:26.030 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-08-01 21:35:26.075 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView,workbench.debug.loadedScriptsView in workbench.view.debug
2023-08-01 21:35:26.564 [info] Removed views:workbench.debug.loadedScriptsView,workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-08-01 21:35:26.576 [info] Added views:workbench.debug.welcome in workbench.view.debug
